epoch,step,lr,loss_train,loss_val_nll,loss_val_dis
2,330,0.0009997431188821793,0.8657892942428589,,
2,331,0.0009997431188821793,0.13624286651611328,,
2,332,0.0009997431188821793,0.09788917005062103,,
2,333,0.0009997431188821793,-0.022049717605113983,,
2,334,0.0009997431188821793,-0.03913699835538864,,
2,335,0.0009997431188821793,-0.042208075523376465,,
2,336,0.0009997431188821793,-0.029008787125349045,,
2,337,0.0009997431188821793,-0.05743630975484848,,
2,338,0.0009997431188821793,-0.08033175021409988,,
2,339,0.0009997431188821793,-0.113426573574543,,
2,340,0.0009997431188821793,-0.1353229284286499,,
2,341,0.0009997431188821793,-0.14007443189620972,,
2,342,0.0009997431188821793,-0.15011297166347504,,
2,343,0.0009997431188821793,-0.17811466753482819,,
2,344,0.0009997431188821793,-0.19557303190231323,,
2,345,0.0009997431188821793,-0.2085353434085846,,
2,346,0.0009997431188821793,-0.24300868809223175,,
2,347,0.0009997431188821793,-0.2579975128173828,,
2,348,0.0009997431188821793,-0.29092496633529663,,
2,349,0.0009997431188821793,-0.33739471435546875,,
2,350,0.0009997431188821793,-0.3586299419403076,,
2,351,0.0009997431188821793,-0.42148756980895996,,
2,352,0.0009997431188821793,-0.4506519138813019,,
2,353,0.0009997431188821793,-0.4830569922924042,,
2,354,0.0009997431188821793,-0.5440416932106018,,
2,355,0.0009997431188821793,-0.49396952986717224,,
2,356,0.0009997431188821793,-0.5232526063919067,,
2,357,0.0009997431188821793,-0.7384878396987915,,
2,358,0.0009997431188821793,-0.5523213148117065,,
2,359,0.0009997431188821793,-0.7327525019645691,,
2,360,0.0009997431188821793,-0.7608859539031982,,
2,361,0.0009997431188821793,-0.8409773111343384,,
2,362,0.0009997431188821793,-0.7583584189414978,,
2,363,0.0009997431188821793,-0.963956892490387,,
2,364,0.0009997431188821793,-0.9775596261024475,,
2,365,0.0009997431188821793,-0.8353339433670044,,
2,366,0.0009997431188821793,-0.9337193965911865,,
